Message_Size RTT(N) 1/To
10000000 0.0519 350660746.1753
13000000 0.0546 405154367.3121
16000000 0.0578 450418608.5654
20000000 0.0648 473217755.7702
23000000 0.0691 496012330.5894
25000000 0.0697 529337355.6331
50000000 0.1008 638987157.7006
100000000 0.1679 689612922.6984
250000000 0.3538 757151813.1742
500000000 0.8185 731481617.6547
3000000000 4.5310 706187482.6347
4000000000 10.2368 517050745.1954
5000000000 11.6207 515582391.9459
10000000000 15.9570 633453462.0761
12000000000 19.4425 645863871.0606
15000000000 25.2673 654226317.3877
17000000000 28.1346 630574670.8566
20000000000 38.2648 616907848.6614
24000000000 36.6001 668428860.8544
28000000000 44.5782 638358744.3838
30000000000 50.5942 611305550.7448
