Message_Size RTT(N) 1/To
10000000 0.3697 36277390.6529
13000000 0.4176 40305573.1190
16000000 0.4332 47235709.6500
20000000 0.4980 49513764.4468
23000000 0.5704 49703795.0695
25000000 0.5778 52575088.6302
50000000 1.0506 52402271.5940
100000000 1.5059 71749028.1072
250000000 3.3776 78947853.4202
500000000 6.7379 78222531.2571
3000000000 39.4988 76913230.7583
4000000000 44.3941 92310918.9887
5000000000 59.5075 88121845.2087
10000000000 121.8839 85650271.1236
12000000000 136.3207 89817251.2906
15000000000 166.4523 94391862.2945
17000000000 187.5438 92220405.8506
