Message_Size RTT(N) 1/To
10000000 0.1585 102803570.6765
13000000 0.1683 116880021.8267
16000000 0.1709 140435827.4811
20000000 0.1762 167558015.2957
23000000 0.1784 189473798.7622
25000000 0.1803 202762733.3731
50000000 0.2200 306369144.8428
100000000 0.2897 429703549.3857
250000000 0.5370 521275401.5169
500000000 1.0034 528385232.5761
3000000000 5.0373 602392325.5273
4000000000 6.1061 662749664.6338
5000000000 7.2919 692177686.5338
10000000000 13.3975 758469472.4406
12000000000 16.2836 740472050.2355
15000000000 19.9814 753825928.4274
17000000000 22.3825 763922014.8798
20000000000 26.3127 761997576.4194
24000000000 30.6896 783520290.0122
28000000000 34.2809 818250328.2767
30000000000 41.2458 804494080.1205
